"Country","iso","high","ReasonNotUsingSI","reason_note","scale","notes","discon_inj","discon_stm","discon_inj_note","discon_stm_note","Country_note"
"Pakistan",586,0,0.73618243,"National",0.6,,0.468,0.402,"","","61.7% of Injectables are from the Public Sector and 13.9% of Public Sector Injectables are from Health Centers and Field Workers."
"Papua New Guinea",598,1,0.884667393571429,"Regional",0.9,,0.199,0.3125,"","","89.7% of Injectables are from the Public Sector and 67.1% of Public Sector Injectables are from Health Centers and Field Workers."
"Philippines",608,0,0.88534329,"National",1,,0.528,0.4865,"","","92.7% of Injectables are from the Public Sector and 93.6% of Public Sector Injectables are from Health Centers and Field Workers."
"Rwanda",646,1,0.94216013,"National",0.75,,0.275,0.394,"","","96.1% of Injectables are from the Public Sector and 36.1% of Public Sector Injectables are from Health Centers and Field Workers."
"Sao Tome and Principe",678,0,0.93606866,"National",0.75,,0.4,0.4,"No data, global average","No data, global average","97.6% of Injectables are from the Public Sector and 37.7% of Public Sector Injectables are from Health Centers and Field Workers."
"Senegal",686,1,0.82077155,"National",0.75,,0.402,0.466,"","","93.8% of Injectables are from the Public Sector and 12.4% of Public Sector Injectables are from Health Centers and Field Workers."
"Sierra Leone",694,1,0.81726884,"National",0.9,,0.249,0.344,"","","77.5% of Injectables are from the Public Sector and 55.6% of Public Sector Injectables are from Health Centers and Field Workers."
"Solomon Islands",90,0,0.884667393571429,"Regional",0.711333333333333,"regional average",0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average."
"Somalia",706,0,0.852804101875,"Regional",0.828888888888889,"regional average",0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average."
"South Sudan",728,0,0.852804101875,"Regional",0.828888888888889,"regional average",0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average."
"Sri Lanka",144,0,0.884667393571429,"Regional",0.6,,0.4,0.4,"No data, global average","No data, global average","66.8% of Injectables are from the Public Sector and 0% of Public Sector Injectables are from Health Centers and Field Workers."
"State of Palestine",275,0,0.884667393571429,"Regional",0.711333333333333,"regional average",0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average."
"Sudan",729,0,0.852804101875,"Regional",0.828888888888889,"regional average",0.4,0.4,"No data, global average","No data, global average","Data on public sector distribution is not available, using regional average."
"Tajikistan",762,0,0.85590245,"National",1,,0.47,0.4515,"","","99.8% of Injectables are from the Public Sector and 78.8% of Public Sector Injectables are from Health Centers and Field Workers."
"TimorLeste",626,1,0.9274629,"National",0.75,,0.347,0.4,"","No data, global average","96.3% of Injectables are from the Public Sector and 30.5% of Public Sector Injectables are from Health Centers and Field Workers."
"Togo",768,0,0.86190545,"National",0.75,,0.4,0.4,"No data, global average","No data, global average","83.1% of Injectables are from the Public Sector and 29.8% of Public Sector Injectables are from Health Centers and Field Workers."
"Uganda",800,1,0.91442038,"National",0.8,,0.518,0.566,"","","54.1% of Injectables are from the Public Sector and 83% of Public Sector Injectables are from Health Centers and Field Workers."
"United Republic of Tanzania",834,1,0.84785261,"National",0.6,,0.32,0.3095,"","","66.7% of Injectables are from the Public Sector and 21.7% of Public Sector Injectables are from Health Centers and Field Workers."
"Uzbekistan",860,0,0.884667393571429,"Regional",0.75,,0.4,0.4,"No data, global average","No data, global average","100% of Injectables are from the Public Sector and 32.6% of Public Sector Injectables are from Health Centers and Field Workers."
"Viet Nam",704,0,0.93287123,"National",0.711333333333333,"regional average",0.4,0.3695,"No data, global average","","Data on public sector distribution is not available, using regional average."
"Yemen",887,0,0.88591611,"National",0.72,,0.485,0.479,"","","56.8% of Injectables are from the Public Sector and 53.3% of Public Sector Injectables are from Health Centers and Field Workers."
"Zambia",894,1,0.89500061,"National",1,,0.34,0.4825,"","","95.7% of Injectables are from the Public Sector and 76.8% of Public Sector Injectables are from Health Centers and Field Workers."
"Zimbabwe",716,0,0.86733351,"National",0.9,,0.3,0.2945,"","","88.5% of Injectables are from the Public Sector and 63.8% of Public Sector Injectables are from Health Centers and Field Workers."
